record_id,route,station,train_id,scheduled_time,actual_time,weather,day_type,incident_type,incident_note,delay_minutes
d2e4d80d-e8ec-4eb6-bbc3-eb9835b0efd0,Colombo Fort - Batticaloa,Colombo Fort,IC-4665,2025-01-01T05:45:00,2025-01-01T06:00:54,clear,weekday,track_obstruction,Fallen tree on the line near Colombo Fort required manual clearance before IC-4665 could proceed.,15.9
07ca9795-89ee-4f4f-a22d-1008008ebdd3,Colombo Fort - Matara,Galle,UD-5752,2025-01-01T06:00:00,2025-01-01T06:15:48,light_rain,weekend,signal_fault,"Signal failure reported near Galle, trains held for 15 minutes while technicians reset the interlocking system.",15.8
bcd7f841-a581-424b-bf22-c17a76582ff5,Colombo Fort - Kandy,Kandy,IC-8746,2025-01-01T06:00:00,2025-01-01T06:06:48,light_rain,weekend,weather,"Flooding risk reported on the track bed near Kandy, service ran at reduced speed as a precaution.",6.8
49e9d53e-60fb-46a0-9c9a-e96280f330ef,Colombo Fort - Jaffna,Colombo Fort,UD-4568,2025-01-01T06:00:00,2025-01-01T06:09:06,light_rain,weekday,weather,"Flooding risk reported on the track bed near Colombo Fort, service ran at reduced speed as a precaution.",9.1
b49d6abe-0dcc-4d8a-bb29-8c34f12fd0df,Colombo Fort - Badulla,Ella,UD-4015,2025-01-01T07:15:00,2025-01-01T07:27:42,light_rain,weekday,track_obstruction,Livestock on the track near Ella caused an unscheduled stop.,12.7
28855bcb-80d6-43e2-8c6d-e18128a5db73,Colombo Fort - Batticaloa,Polonnaruwa,PM-1774,2025-01-01T07:30:00,2025-01-01T07:50:18,heavy_rain,weekend,signal_fault,"Automatic signal at Polonnaruwa stuck on red, manual override required, causing delays through the section.",20.3
2f1f38ca-b283-4492-8fe3-a4e4e4443d68,Colombo Fort - Badulla,Ella,YD-3100,2025-01-01T07:50:00,2025-01-01T07:57:54,clear,weekday,staffing,Delayed departure from Ella due to late arrival of relief crew for YD-3100.,7.9
17a02a59-ce5c-4ec6-9e8c-4a5404eb66aa,Colombo Fort - Matara,Colombo Fort,UD-2941,2025-01-01T08:10:00,2025-01-01T08:12:30,extreme_heat,weekend,none,,2.5
960a4a1a-c280-4357-996d-e1f55ce4e1c9,Colombo Fort - Kandy,Kandy,YD-9337,2025-01-01T08:45:00,2025-01-01T09:01:12,heavy_rain,weekend,weather,"Flooding risk reported on the track bed near Kandy, service ran at reduced speed as a precaution.",16.2
c76b94eb-3a19-46e5-8d47-32815a520765,Colombo Fort - Kandy,Colombo Fort,ND-3676,2025-01-01T09:15:00,2025-01-01T09:43:12,heavy_rain,weekday,mechanical,"Brake system fault detected on ND-3676, inspected and cleared at Colombo Fort before continuing.",28.2
b3fa1bb4-b826-4de3-8f55-433506a091c6,Colombo Fort - Kandy,Peradeniya,IC-3988,2025-01-01T09:20:00,2025-01-01T09:39:12,extreme_heat,public_holiday,signal_fault,"Automatic signal at Peradeniya stuck on red, manual override required, causing delays through the section.",19.2
439cfc7a-ab81-4723-99bd-bf44b03e0dea,Colombo Fort - Galle,Kalutara,PM-8144,2025-01-01T14:45:00,2025-01-01T15:11:12,light_rain,public_holiday,mechanical,"Locomotive on PM-8144 reported engine overheating near Kalutara, replacement unit dispatched.",26.2
1a336811-81d4-4027-b6ea-2f08a8b18c6b,Colombo Fort - Matara,Galle,PM-1198,2025-01-01T17:15:00,2025-01-01T17:33:30,light_rain,weekday,track_obstruction,Livestock on the track near Galle caused an unscheduled stop.,18.5
a800ffc8-4dd7-4cc4-a8e6-76c1e71b7a37,Colombo Fort - Badulla,Colombo Fort,PM-1800,2025-01-01T17:15:00,2025-01-01T17:13:00,clear,weekday,none,,-2.0
6a7f8e94-6f7a-4993-abe5-d77ccfbaab97,Colombo Fort - Jaffna,Anuradhapura,ND-9689,2025-01-01T17:40:00,2025-01-01T17:53:18,clear,public_holiday,track_obstruction,Livestock on the track near Anuradhapura caused an unscheduled stop.,13.3
964ac11c-268d-4bf1-b2cc-2ce84ef9a007,Colombo Fort - Batticaloa,Colombo Fort,ND-2903,2025-01-01T17:50:00,2025-01-01T17:57:30,extreme_heat,weekday,staffing,Platform staff shortage at Colombo Fort slowed boarding and dispatch.,7.5
