event_id,user_id,timestamp,route_id,ticket_price,bookings_last_60s,travel_distance_km,time_since_last_booking,label
evt_00916,2562,1771843793,3,407,1,145,192,normal
evt_00771,9485,1774265523,1,273,1,119,1998,normal
evt_00926,9589,1769151181,4,503,0,162,6215,normal
evt_01769,1917,1768899055,3,401,2,145,2873,normal
evt_01109,3939,1774460431,0,425,1,116,817,normal
evt_01461,6861,1769716376,6,736,0,206,5645,normal
evt_00921,1827,1772494225,1,475,1,119,7568,normal
evt_00163,8749,1772735181,2,777,2,393,6988,normal
evt_02973,2969,1769156293,6,567,0,206,235,normal
evt_01485,7569,1772217861,4,592,0,162,4003,normal
evt_04398,2041,1772924206,2,942,1,393,579,normal
evt_02403,4669,1770822217,6,592,0,206,2109,normal
evt_00704,7790,1767631553,0,352,0,116,3363,normal
evt_04356,1806,1768746618,6,656,0,206,2954,normal
evt_02810,1428,1774871315,0,432,0,116,1616,normal
evt_00347,4340,1770402731,5,254,1,95,6745,normal
evt_03260,4760,1769784998,4,516,0,162,10261,normal
evt_01355,8968,1769253855,1,309,1,119,4389,normal
evt_03910,1326,1770295596,3,389,0,145,6728,normal
evt_00374,7642,1772570881,1,353,1,119,546,normal
evt_03479,4641,1774190294,6,661,0,206,359,normal
evt_03404,4215,1772729413,5,321,0,95,4535,normal
evt_03630,3651,1774467722,4,490,0,162,2063,normal
evt_00895,2753,1770968338,1,427,0,119,8283,normal
evt_02928,6481,1773299323,0,412,1,116,7684,normal
evt_04394,7248,1774196658,2,896,0,393,6014,normal
evt_02094,7449,1774637326,3,305,0,145,5534,normal
evt_03664,5749,1771531274,3,489,1,145,89,normal
evt_01827,7792,1767412437,0,413,0,116,1878,normal
evt_04134,9981,1769168264,1,331,1,119,1047,normal
evt_03702,4198,1768208740,1,368,1,119,2235,normal
evt_02121,3244,1771245923,0,428,0,116,1859,normal
evt_01963,4272,1768743980,4,533,0,162,1798,normal
evt_01555,1099,1767705188,5,358,0,95,192,normal
evt_03162,6188,1773294100,0,356,0,116,1092,normal
evt_02270,6610,1772201548,3,339,0,145,5104,normal
evt_00331,5609,1771098279,0,330,0,116,6105,normal
evt_01193,9612,1773856076,4,611,1,162,799,normal
